vibration_sensor,temperature_sensor,label
1023,205,0
1023,205,0
1023,205,0
1023,409,0
593,941,0
982,941,0
982,61,0
82,61,0
82,266,0
655,1023,0
655,1023,0
655,1023,0
102,41,0
798,41,0
0,0,0
0,61,0
41,123,0
41,184,0
0,225,0
123,266,0
123,307,0
123,307,0
123,307,0
225,511,0
123,593,0
205,655,0
205,737,0
102,839,0
348,839,0
286,716,0
921,102,0
921,266,0
675,859,0
798,859,0
839,327,0
205,327,0
266,225,0
450,409,1
450,491,1
450,491,1
450,491,1
450,491,1
450,696,1
450,757,1
450,798,1
327,798,1
368,798,1
409,798,1
409,798,1
532,798,1
532,798,1
634,798,1
696,798,1
757,798,1
716,798,1
716,737,1
696,634,1
696,327,1
348,327,1
389,327,1
